Alter;A;E;C;B;F;D;G;M;J;H;N;K;I;O;L
38;0.001083;0.000861;0.001798;0.000701;0.000598;0.001193;0.000892;0.0007295;0.0014955;0.001115;0.00091188;0.00186938;0.001338;0.00109425;0.00224325
39;0.001181;0.000931;0.001975;0.000783;0.000661;0.00134;0.000982;0.000796;0.0016575;0.0012275;0.000995;0.00207188;0.001473;0.001194;0.00248625
40;0.001301;0.001018;0.002191;0.000872;0.000728;0.001502;0.0010865;0.000873;0.0018465;0.00135813;0.00109125;0.00230813;0.00162975;0.0013095;0.00276975
41;0.001447;0.001123;0.002451;0.000972;0.000804;0.001683;0.0012095;0.0009635;0.002067;0.00151188;0.00120438;0.00258375;0.00181425;0.00144525;0.0031005
42;0.001623;0.00125;0.002761;0.001084;0.000889;0.001889;0.0013535;0.0010695;0.002325;0.00169188;0.00133688;0.00290625;0.00203025;0.00160425;0.0034875
43;0.001833;0.001401;0.003131;0.001213;0.000988;0.002127;0.001523;0.0011945;0.002629;0.00190375;0.00149313;0.00328625;0.0022845;0.00179175;0.0039435
44;0.002082;0.001583;0.003574;0.001359;0.0011;0.002397;0.0017205;0.0013415;0.0029855;0.00215063;0.00167688;0.00373188;0.00258075;0.00201225;0.00447825
45;0.002364;0.001789;0.004075;0.001524;0.001229;0.002707;0.001944;0.001509;0.003391;0.00243;0.00188625;0.00423875;0.002916;0.0022635;0.0050865
46;0.002669;0.002019;0.004631;0.001706;0.001373;0.003055;0.0021875;0.001696;0.003843;0.00273438;0.00212;0.00480375;0.00328125;0.002544;0.0057645
47;0.002983;0.002258;0.005216;0.001903;0.001534;0.003441;0.002443;0.001896;0.0043285;0.00305375;0.00237;0.00541063;0.0036645;0.002844;0.00649275
48;0.003302;0.002512;0.00583;0.002109;0.001705;0.003854;0.0027055;0.0021085;0.004842;0.00338188;0.00263563;0.0060525;0.00405825;0.00316275;0.007263
49;0.00363;0.002778;0.006476;0.002324;0.00189;0.004296;0.002977;0.002334;0.005386;0.00372125;0.0029175;0.0067325;0.0044655;0.003501;0.008079
50;0.003981;0.003067;0.007172;0.002546;0.002085;0.00476;0.0032635;0.002576;0.005966;0.00407938;0.00322;0.0074575;0.00489525;0.003864;0.008949
51;0.004371;0.003398;0.007955;0.002782;0.002296;0.005262;0.0035765;0.002847;0.0066085;0.00447063;0.00355875;0.00826063;0.00536475;0.0042705;0.00991275
52;0.004812;0.003767;0.008825;0.003035;0.002528;0.005804;0.0039235;0.0031475;0.0073145;0.00490438;0.00393438;0.00914313;0.00588525;0.00472125;0.01097175
53;0.005308;0.00419;0.009803;0.003306;0.002778;0.006381;0.004307;0.003484;0.008092;0.00538375;0.004355;0.010115;0.0064605;0.005226;0.012138
54;0.005857;0.004655;0.010866;0.003593;0.003045;0.006993;0.004725;0.00385;0.0089295;0.00590625;0.0048125;0.01116188;0.0070875;0.005775;0.01339425
55;0.00646;0.00517;0.012029;0.003898;0.003336;0.007646;0.005179;0.004253;0.0098375;0.00647375;0.00531625;0.01229688;0.0077685;0.0063795;0.01475625
56;0.007117;0.005746;0.013304;0.004228;0.003658;0.008358;0.0056725;0.004702;0.010831;0.00709063;0.0058775;0.01353875;0.00850875;0.007053;0.0162465
57;0.007831;0.006392;0.014713;0.004585;0.00401;0.009118;0.006208;0.005201;0.0119155;0.00776;0.00650125;0.01489438;0.009312;0.0078015;0.01787325
58;0.008604;0.007111;0.01625;0.004974;0.0044;0.009948;0.006789;0.0057555;0.013099;0.00848625;0.00719438;0.01637375;0.0101835;0.00863325;0.0196485
59;0.009454;0.007927;0.017966;0.005402;0.004841;0.010868;0.007428;0.006384;0.014417;0.009285;0.00798;0.01802125;0.011142;0.009576;0.0216255
60;0.010404;0.008862;0.019895;0.005884;0.005342;0.011894;0.008144;0.007102;0.0158945;0.01018;0.0088775;0.01986813;0.012216;0.010653;0.02384175
61;0.011504;0.009957;0.022114;0.006449;0.005929;0.013072;0.0089765;0.007943;0.017593;0.01122063;0.00992875;0.02199125;0.01346475;0.0119145;0.0263895
62;0.012818;0.011262;0.024721;0.007126;0.006632;0.014464;0.009972;0.008947;0.0195925;0.012465;0.01118375;0.02449063;0.014958;0.0134205;0.02938875
63;0.014429;0.012844;0.027836;0.007935;0.007468;0.016095;0.011182;0.010156;0.0219655;0.0139775;0.012695;0.02745688;0.016773;0.015234;0.03294825
64;0.016415;0.014777;0.031584;0.008898;0.00845;0.017976;0.0126565;0.0116135;0.02478;0.01582063;0.01451688;0.030975;0.01898475;0.01742025;0.03717
65;0.018832;0.017143;0.036101;0.010025;0.009607;0.020149;0.0144285;0.013375;0.028125;0.01803563;0.01671875;0.03515625;0.02164275;0.0200625;0.0421875
66;0.021704;0.01994;0.041337;0.011323;0.010938;0.022597;0.0165135;0.015439;0.031967;0.02064188;0.01929875;0.03995875;0.02477025;0.0231585;0.0479505
67;0.025016;0.023174;0.04725;0.012797;0.012459;0.025327;0.0189065;0.0178165;0.0362885;0.02363313;0.02227063;0.04536063;0.02835975;0.02672475;0.05443275
68;0.028738;0.026862;0.053821;0.01446;0.014172;0.028324;0.021599;0.020517;0.0410725;0.02699875;0.02564625;0.05134063;0.0323985;0.0307755;0.06160875
69;0.032822;0.030925;0.060846;0.016332;0.016111;0.03163;0.024577;0.023518;0.046238;0.03072125;0.0293975;0.0577975;0.0368655;0.035277;0.069357
70;0.037219;0.035342;0.068237;0.01844;0.018305;0.035274;0.0278295;0.0268235;0.0517555;0.03478688;0.03352938;0.06469438;0.04174425;0.04023525;0.07763325
71;0.04188;0.040102;0.075932;0.020813;0.020784;0.039286;0.0313465;0.030443;0.057609;0.03918313;0.03805375;0.07201125;0.04701975;0.0456645;0.0864135
72;0.046597;0.044947;0.083416;0.023475;0.023475;0.043652;0.035036;0.034211;0.063534;0.043795;0.04276375;0.0794175;0.052554;0.0513165;0.095301
73;0.051181;0.049717;0.090393;0.027035;0.027035;0.049484;0.039108;0.038376;0.0699385;0.048885;0.04797;0.08742313;0.058662;0.057564;0.10490775
74;0.05611;0.054874;0.097698;0.030413;0.030413;0.054717;0.0432615;0.0426435;0.0762075;0.05407688;0.05330438;0.09525938;0.06489225;0.06396525;0.11431125
75;0.061477;0.060473;0.105385;0.034287;0.034287;0.060596;0.047882;0.04738;0.0829905;0.0598525;0.059225;0.10373813;0.071823;0.07107;0.12448575
